date,name,ml_signal
2015-05-19,A,0.5255349855351437
2015-05-19,AAL,0.534632579813674
2015-05-19,AAP,0.5114553713668495
2015-05-19,AAPL,0.5163717447248566
2015-05-19,ABBV,0.5123313825946723
2015-05-19,ABC,0.5163717447248566
2015-05-19,ABT,0.5195206051475336
2015-05-19,ACN,0.5114553713668495
2015-05-19,ADBE,0.5114553713668495
2015-05-19,ADI,0.5239951595518013
2015-05-19,ADM,0.508997459163329
2015-05-19,ADP,0.5175191411223523
2015-05-19,ADS,0.5239951595518013
2015-05-19,ADSK,0.5363915136889729
2015-05-19,AEE,0.5343353252143023
2015-05-19,AEP,0.5328885057972083
2015-05-19,AES,0.5195488166585431
2015-05-19,AET,0.5111103943495559
2015-05-19,AFL,0.5272738965852819
2015-05-19,AGN,0.5134793331323653
2015-05-19,AIG,0.5114553713668495
2015-05-19,AIV,0.525424257139422
2015-05-19,AIZ,0.5093424958436803
2015-05-19,AJG,0.5251411019258377
2015-05-19,AKAM,0.5111103943495559
2015-05-19,ALB,0.5111103943495559
2015-05-19,ALGN,0.5123313825946723
2015-05-19,ALK,0.5163717447248566
2015-05-19,ALL,0.5360944077214435
2015-05-19,ALLE,0.520175110081551
2015-05-19,ALXN,0.537168290312022
2015-05-19,AMAT,0.5363915136889729
2015-05-19,AMD,0.5285702068259092
2015-05-19,AME,0.5114553713668495
2015-05-19,AMG,0.5123313825946723
2015-05-19,AMGN,0.5261284567051647
2015-05-19,AMP,0.5526221064898948
2015-05-19,AMT,0.5261284567051647
2015-05-19,AMZN,0.5115046898469117
2015-05-19,ANDV,0.5134793331323653
2015-05-19,ANSS,0.5134793331323653
2015-05-19,ANTM,0.5108628071577734
2015-05-19,AON,0.5114553713668495
2015-05-19,AOS,0.5093424958436803
2015-05-19,APA,0.5369360939819591
2015-05-19,APC,0.5355543957865442
2015-05-19,APD,0.5314555108489213
2015-05-19,APH,0.5282137266316415
2015-05-19,ARE,0.5272738965852819
2015-05-19,ARNC,0.5257221510881654
2015-05-19,ATVI,0.5148504259039484
2015-05-19,AVB,0.5319522822676958
2015-05-19,AVGO,0.5134793331323653
2015-05-19,AVY,0.5080777234681599
2015-05-19,AWK,0.5263650027795127
2015-05-19,AXP,0.5233410905315078
2015-05-19,AYI,0.5108628071577734
2015-05-19,AZO,0.5131344248275178
2015-05-19,BA,0.5319522822676958
2015-05-19,BAC,0.5188942475600417
2015-05-19,BAX,0.5272556262380194
2015-05-19,BBT,0.5218064338232604
2015-05-19,BBY,0.5363915136889729
2015-05-19,BDX,0.5322130356386682
2015-05-19,BEN,0.5269578288042963
2015-05-19,BF.B,0.5195206051475336
2015-05-19,BIIB,0.5334521063110653
2015-05-19,BK,0.5154961277078615
2015-05-19,BLK,0.5239951595518013
2015-05-19,BLL,0.5245936477383121
2015-05-19,BMY,0.5114553713668495
2015-05-19,BRK.B,0.5134793331323653
2015-05-19,BSX,0.5234595489874433
2015-05-19,BWA,0.5239951595518013
2015-05-19,BXP,0.5314555108489213
2015-05-19,C,0.5154961277078615
2015-05-19,CA,0.5242587244884296
2015-05-19,CAG,0.5218064338232604
2015-05-19,CAH,0.5350948106655457
2015-05-19,CAT,0.5119864339290656
2015-05-19,CB,0.5252917375187449
2015-05-19,CBG,0.5224606871432445
2015-05-19,CBOE,0.5239951595518013
2015-05-19,CBS,0.5343353252143023
2015-05-19,CCI,0.5345648346294161
2015-05-19,CCL,0.5233410905315078
2015-05-19,CDNS,0.5230343128332942
2015-05-19,CELG,0.5272738965852819
2015-05-19,CERN,0.5363915136889729
2015-05-19,CF,0.5114553713668495
2015-05-19,CFG,0.5212335961991545
2015-05-19,CHD,0.526680569403713
2015-05-19,CHK,0.5257221510881654
2015-05-19,CHRW,0.5381761222231096
2015-05-19,CHTR,0.5320134027848636
2015-05-19,CI,0.5114553713668495
2015-05-19,CINF,0.5360944077214435
2015-05-19,CL,0.5272738965852819
2015-05-19,CLX,0.5254746644278773
2015-05-19,CMA,0.5114553713668495
2015-05-19,CMCSA,0.5257221510881654
2015-05-19,CME,0.5134793331323653
2015-05-19,CMG,0.5347774923510653
2015-05-19,CMI,0.5119864339290656
2015-05-19,CMS,0.5242587244884296
2015-05-19,CNC,0.5239951595518013
2015-05-19,CNP,0.5253298143548445
2015-05-19,COF,0.5114553713668495
2015-05-19,COG,0.5114553713668495
2015-05-19,COL,0.5175191411223523
2015-05-19,COO,0.5272738965852819
2015-05-19,COP,0.5272556262380194
2015-05-19,COST,0.5325104597186704
2015-05-19,COTY,0.5249625482394968
2015-05-19,CPB,0.5251411019258377
2015-05-19,CRM,0.5123313825946723
2015-05-19,CSCO,0.5212335961991545
2015-05-19,CSX,0.5218879151472012
2015-05-19,CTAS,0.5114553713668495
2015-05-19,CTL,0.534632579813674
2015-05-19,CTSH,0.5114553713668495
2015-05-19,CTXS,0.5239951595518013
2015-05-19,CVS,0.5272738965852819
2015-05-19,CVX,0.534632579813674
2015-05-19,CXO,0.5330556302572017
2015-05-19,D,0.5261284567051647
2015-05-19,DAL,0.5163717447248566
2015-05-19,DE,0.5265890804627391
2015-05-19,DFS,0.5251411019258377
2015-05-19,DG,0.5269578288042963
2015-05-19,DGX,0.5345648346294161
2015-05-19,DHI,0.526108267927707
2015-05-19,DHR,0.5175191411223523
2015-05-19,DIS,0.5134793331323653
2015-05-19,DISCA,0.526108267927707
2015-05-19,DISCK,0.5249625482394968
2015-05-19,DISH,0.5360944077214435
2015-05-19,DLR,0.5261284567051647
2015-05-19,DLTR,0.5363915136889729
2015-05-19,DOV,0.5123313825946723
2015-05-19,DPS,0.5261284567051647
2015-05-19,DRE,0.5234018037739483
2015-05-19,DRI,0.5543697210777697
2015-05-19,DTE,0.5337099665531749
2015-05-19,DUK,0.5363915136889729
2015-05-19,DVA,0.5239951595518013
2015-05-19,DVN,0.5287480143946147
2015-05-19,EA,0.5111103943495559
2015-05-19,EBAY,0.5239951595518013
2015-05-19,ECL,0.5239951595518013
2015-05-19,ED,0.5255084422145265
2015-05-19,EFX,0.5111103943495559
2015-05-19,EIX,0.5360944077214435
2015-05-19,EL,0.5111103943495559
2015-05-19,EMN,0.5166661680251164
2015-05-19,EMR,0.5163717447248566
2015-05-19,EOG,0.5359367406087399
2015-05-19,EQIX,0.5094839464741091
2015-05-19,EQR,0.5360944077214435
2015-05-19,EQT,0.5243536103967821
2015-05-19,ES,0.5337435642130534
2015-05-19,ESRX,0.5213218477983691
2015-05-19,ESS,0.5327097100878891
2015-05-19,ETFC,0.5230343128332942
2015-05-19,ETN,0.5114553713668495
2015-05-19,ETR,0.5337099665531749
2015-05-19,EW,0.5353376807030973
2015-05-19,EXC,0.5230343128332942
2015-05-19,EXPD,0.5239951595518013
2015-05-19,EXPE,0.5131344248275178
2015-05-19,EXR,0.5114553713668495
2015-05-19,F,0.5285702068259092
2015-05-19,FAST,0.5224606871432445
2015-05-19,FB,0.5335074373023515
2015-05-19,FBHS,0.5282137266316415
2015-05-19,FCX,0.538346767777896
2015-05-19,FDX,0.5111103943495559
2015-05-19,FE,0.5242587244884296
2015-05-19,FFIV,0.5108628071577734
2015-05-19,FIS,0.5265704090036428
2015-05-19,FISV,0.5175191411223523
2015-05-19,FITB,0.5212335961991545
2015-05-19,FL,0.5182114946960965
2015-05-19,FLIR,0.5230343128332942
2015-05-19,FLR,0.5272556262380194
2015-05-19,FLS,0.5269578288042963
2015-05-19,FMC,0.5272556262380194
2015-05-19,FOX,0.5243086017561034
2015-05-19,FOXA,0.5249625482394968
2015-05-19,FRT,0.5319522822676958
2015-05-19,FTI,0.5313456318461899
2015-05-19,GD,0.5119864339290656
2015-05-19,GE,0.5230343128332942
2015-05-19,GGP,0.526108267927707
2015-05-19,GILD,0.5111103943495559
2015-05-19,GIS,0.5251411019258377
2015-05-19,GLW,0.5342410838044758
2015-05-19,GM,0.5363915136889729
2015-05-19,GOOG,0.5319522822676958
2015-05-19,GOOGL,0.5328075519632256
2015-05-19,GPC,0.5239951595518013
2015-05-19,GPN,0.5093424958436803
2015-05-19,GPS,0.5369360939819591
2015-05-19,GRMN,0.5343353252143023
2015-05-19,GS,0.5108628071577734
2015-05-19,GT,0.5084227822684095
2015-05-19,GWW,0.5163213908393112
2015-05-19,HAL,0.527444433850375
2015-05-19,HAS,0.5119864339290656
2015-05-19,HBAN,0.5224363624815871
2015-05-19,HBI,0.5331722332394494
2015-05-19,HCA,0.5114553713668495
2015-05-19,HCN,0.5363915136889729
2015-05-19,HCP,0.5363915136889729
2015-05-19,HD,0.5254247987575978
2015-05-19,HES,0.5365538605290097
2015-05-19,HIG,0.526680569403713
2015-05-19,HII,0.5437570963371615
2015-05-19,HOG,0.5363915136889729
2015-05-19,HOLX,0.518066314157959
2015-05-19,HON,0.5134793331323653
2015-05-19,HP,0.5287480143946147
2015-05-19,HRB,0.5249625482394968
2015-05-19,HRL,0.5234018037739483
2015-05-19,HRS,0.5261284567051647
2015-05-19,HSIC,0.5272738965852819
2015-05-19,HST,0.5249625482394968
2015-05-19,HSY,0.5353920019998638
2015-05-19,HUM,0.5239951595518013
2015-05-19,IBM,0.5117388665707456
2015-05-19,ICE,0.5163717447248566
2015-05-19,IDXX,0.5357771797718281
2015-05-19,IFF,0.5350948106655457
2015-05-19,ILMN,0.5108628071577734
2015-05-19,INCY,0.5108628071577734
2015-05-19,INFO,0.526108267927707
2015-05-19,INTC,0.5230343128332942
2015-05-19,INTU,0.5120224460341299
2015-05-19,IP,0.5263650027795127
2015-05-19,IPG,0.5253298143548445
2015-05-19,IQV,0.5272738965852819
2015-05-19,IR,0.5175191411223523
2015-05-19,IRM,0.5212335961991545
2015-05-19,ISRG,0.5319522822676958
2015-05-19,IT,0.5114553713668495
2015-05-19,ITW,0.5272738965852819
2015-05-19,IVZ,0.525424257139422
2015-05-19,JBHT,0.5261284567051647
2015-05-19,JCI,0.5363915136889729
2015-05-19,JEC,0.534632579813674
2015-05-19,JNJ,0.5141863058345796
2015-05-19,JNPR,0.5114553713668495
2015-05-19,JPM,0.5093424958436803
2015-05-19,JWN,0.5369360939819591
2015-05-19,K,0.5254247987575978
2015-05-19,KEY,0.5188942475600417
2015-05-19,KIM,0.534632579813674
2015-05-19,KLAC,0.5269578288042963
2015-05-19,KMB,0.5114553713668495
2015-05-19,KMI,0.5248312422312621
2015-05-19,KMX,0.5134793331323653
2015-05-19,KO,0.5236069651077017
2015-05-19,KORS,0.5365538605290097
2015-05-19,KR,0.526108267927707
2015-05-19,KSS,0.544753914125731
2015-05-19,KSU,0.5437570963371615
2015-05-19,L,0.5239744163932767
2015-05-19,LB,0.5359367406087399
2015-05-19,LEG,0.5114553713668495
2015-05-19,LEN,0.5282137266316415
2015-05-19,LH,0.534297037083859
2015-05-19,LKQ,0.5084227822684095
2015-05-19,LLL,0.5335099820870876
2015-05-19,LLY,0.5251411019258377
2015-05-19,LMT,0.5328075519632256
2015-05-19,LNC,0.5251411019258377
2015-05-19,LNT,0.5234018037739483
2015-05-19,LOW,0.5272556262380194
2015-05-19,LRCX,0.5101450061313114
2015-05-19,LUK,0.5212335961991545
2015-05-19,LUV,0.534632579813674
2015-05-19,LYB,0.5160739440071554
2015-05-19,M,0.5233410905315078
2015-05-19,MA,0.5114553713668495
2015-05-19,MAA,0.5257596436853433
2015-05-19,MAC,0.5254247987575978
2015-05-19,MAR,0.5261284567051647
2015-05-19,MAS,0.5230343128332942
2015-05-19,MAT,0.5259110204577669
2015-05-19,MCD,0.5099806179055673
2015-05-19,MCHP,0.5269578288042963
2015-05-19,MCK,0.5078300793624212
2015-05-19,MCO,0.5114553713668495
2015-05-19,MDLZ,0.5114553713668495
2015-05-19,MDT,0.5272738965852819
2015-05-19,MET,0.5154961277078615
2015-05-19,MGM,0.5363915136889729
2015-05-19,MHK,0.5111103943495559
2015-05-19,MKC,0.5114553713668495
2015-05-19,MLM,0.5108628071577734
2015-05-19,MMC,0.5233410905315078
2015-05-19,MMM,0.5272738965852819
2015-05-19,MNST,0.5369360939819591
2015-05-19,MO,0.5259962079991877
2015-05-19,MON,0.5134793331323653
2015-05-19,MOS,0.5251411019258377
2015-05-19,MPC,0.5213218477983691
2015-05-19,MRK,0.5163717447248566
2015-05-19,MRO,0.5345309970677674
2015-05-19,MS,0.5218064338232604
2015-05-19,MSFT,0.5123313825946723
2015-05-19,MSI,0.5363915136889729
2015-05-19,MTB,0.5269051734277497
2015-05-19,MTD,0.5134793331323653
2015-05-19,MU,0.5369360939819591
2015-05-19,MYL,0.5166661680251164
2015-05-19,NAVI,0.5257221510881654
2015-05-19,NBL,0.5388513763290027
2015-05-19,NCLH,0.5114553713668495
2015-05-19,NDAQ,0.5154961277078615
2015-05-19,NEE,0.5335648093180597
2015-05-19,NEM,0.5114553713668495
2015-05-19,NFLX,0.5078300793624212
2015-05-19,NFX,0.5255349855351437
2015-05-19,NI,0.5141863058345796
2015-05-19,NKE,0.5114553713668495
2015-05-19,NLSN,0.5239951595518013
2015-05-19,NOC,0.5335099820870876
2015-05-19,NOV,0.5369360939819591
2015-05-19,NRG,0.5218879151472012
2015-05-19,NSC,0.5437570963371615
2015-05-19,NTAP,0.534632579813674
2015-05-19,NTRS,0.5114553713668495
2015-05-19,NUE,0.5248670354730967
2015-05-19,NVDA,0.5282033008087955
2015-05-19,NWL,0.5236069651077017
2015-05-19,NWS,0.5238269230992625
2015-05-19,NWSA,0.5227555228182543
2015-05-19,O,0.5363915136889729
2015-05-19,OKE,0.5363915136889729
2015-05-19,OMC,0.5269051734277497
2015-05-19,ORCL,0.5239951595518013
2015-05-19,ORLY,0.5119864339290656
2015-05-19,OXY,0.5369360939819591
2015-05-19,PAYX,0.5233410905315078
2015-05-19,PBCT,0.5242366844783747
2015-05-19,PCAR,0.5265878643103586
2015-05-19,PCG,0.5270685214524098
2015-05-19,PCLN,0.5393797952074749
2015-05-19,PDCO,0.5535542112749773
2015-05-19,PEG,0.5236069651077017
2015-05-19,PEP,0.5154961277078615
2015-05-19,PFE,0.5242587244884296
2015-05-19,PFG,0.5251411019258377
2015-05-19,PG,0.5360944077214435
2015-05-19,PGR,0.5230343128332942
2015-05-19,PH,0.5237664048250084
2015-05-19,PHM,0.534632579813674
2015-05-19,PKG,0.5312766867137205
2015-05-19,PKI,0.5233410905315078
2015-05-19,PLD,0.5363915136889729
2015-05-19,PM,0.5111103943495559
2015-05-19,PNC,0.5114553713668495
2015-05-19,PNR,0.5251411019258377
2015-05-19,PNW,0.5360944077214435
2015-05-19,PPG,0.5175191411223523
2015-05-19,PPL,0.526108267927707
2015-05-19,PRGO,0.5108628071577734
2015-05-19,PRU,0.5111103943495559
2015-05-19,PSA,0.5131344248275178
2015-05-19,PSX,0.5163717447248566
2015-05-19,PVH,0.5269578288042963
2015-05-19,PWR,0.5218879151472012
2015-05-19,PX,0.5328050067021891
2015-05-19,PXD,0.5437570963371615
2015-05-19,QCOM,0.5239951595518013
2015-05-19,QRVO,0.5111103943495559
2015-05-19,RCL,0.5254746644278773
2015-05-19,RE,0.5131344248275178
2015-05-19,REG,0.5254247987575978
2015-05-19,REGN,0.5094839464741091
2015-05-19,RF,0.5188942475600417
2015-05-19,RHI,0.5535542112749773
2015-05-19,RHT,0.5114553713668495
2015-05-19,RJF,0.5251411019258377
2015-05-19,RL,0.5330556302572017
2015-05-19,RMD,0.544753914125731
2015-05-19,ROK,0.5108628071577734
2015-05-19,ROP,0.5111103943495559
2015-05-19,ROST,0.5270685214524098
2015-05-19,RRC,0.5378954931909365
2015-05-19,RSG,0.526680569403713
2015-05-19,RTN,0.5343353252143023
2015-05-19,SBAC,0.5350948106655457
2015-05-19,SBUX,0.5114553713668495
2015-05-19,SCG,0.5346482939055862
2015-05-19,SCHW,0.5230343128332942
2015-05-19,SEE,0.5114553713668495
2015-05-19,SHW,0.5111103943495559
2015-05-19,SIG,0.524070476846466
2015-05-19,SJM,0.5114553713668495
2015-05-19,SLB,0.5277355110715704
2015-05-19,SLG,0.534297037083859
2015-05-19,SNA,0.5108628071577734
2015-05-19,SNI,0.5363915136889729
2015-05-19,SNPS,0.5154961277078615
2015-05-19,SO,0.529667773896268
2015-05-19,SPG,0.534297037083859
2015-05-19,SPGI,0.5175191411223523
2015-05-19,SRCL,0.5349720635890883
2015-05-19,SRE,0.5533766960847688
2015-05-19,STI,0.5218064338232604
2015-05-19,STT,0.5154961277078615
2015-05-19,STX,0.5272556262380194
2015-05-19,STZ,0.5251411019258377
2015-05-19,SWK,0.5111103943495559
2015-05-19,SWKS,0.5097999906602372
2015-05-19,SYF,0.5218879151472012
2015-05-19,SYK,0.5160629500195912
2015-05-19,SYMC,0.5218879151472012
2015-05-19,SYY,0.5248811138728179
2015-05-19,T,0.5218879151472012
2015-05-19,TAP,0.5272738965852819
2015-05-19,TDG,0.5108628071577734
2015-05-19,TEL,0.5272738965852819
2015-05-19,TGT,0.5369360939819591
2015-05-19,TIF,0.5269578288042963
2015-05-19,TJX,0.5212757162068156
2015-05-19,TMK,0.5233410905315078
2015-05-19,TMO,0.5272738965852819
2015-05-19,TPR,0.5360092191665075
2015-05-19,TRIP,0.5269578288042963
2015-05-19,TROW,0.5254247987575978
2015-05-19,TRV,0.528446212651057
2015-05-19,TSCO,0.5251411019258377
2015-05-19,TSN,0.5093424958436803
2015-05-19,TSS,0.5084227822684095
2015-05-19,TWX,0.5272738965852819
2015-05-19,TXN,0.5286251961853923
2015-05-19,TXT,0.5213218477983691
2015-05-19,UAA,0.5343353252143023
2015-05-19,UAL,0.534632579813674
2015-05-19,UDR,0.5234018037739483
2015-05-19,UHS,0.5111103943495559
2015-05-19,ULTA,0.5245680736610201
2015-05-19,UNH,0.5160629500195912
2015-05-19,UNM,0.5230343128332942
2015-05-19,UNP,0.5379540831391423
